Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
CIFAR-10_subset_0,Inception,1,"{'rate': 0.40577052966451, 'lr': 0.000526555943020575}",0.06,0,0.076923077,0.06,0.48023427,0.098722383,6.04177928,1.120562792
CIFAR-10_subset_0,Inception,2,"{'rate': 0.44061813799391675, 'lr': 0.0028641880912489343}",0.1,0,0.1,0.1,0.47219222,0.100072262,5.697125196,1.311861277
CIFAR-10_subset_0,Inception,3,"{'rate': 0.5433313096899945, 'lr': 0.002387235723578569}",0.1,0,0.083333333,0.1,0.459142257,0.093558902,5.532239676,1.077738523
CIFAR-10_subset_0,Inception,4,"{'rate': 0.5112982509041466, 'lr': 0.0017776834035906567}",0.08,0,0.083333333,0.08,0.515811241,0.110286011,6.921267033,1.128979921
CIFAR-10_subset_0,Inception,5,"{'rate': 0.4427154332629443, 'lr': 0.00013619768060486726}",0.06,0,0.071428571,0.06,0.491156017,0.098332096,6.848345518,1.311833382
CIFAR-10_subset_0,Inception,6,"{'rate': 0.47235247963897575, 'lr': 0.00019102686112494233}",0.1,0,0.066666667,0.1,0.536012297,0.109199515,6.025553465,1.32526207
CIFAR-10_subset_0,Inception,7,"{'rate': 0.5021423414328402, 'lr': 0.0001243858381776506}",0.16,0,0.0625,0.16,0.557600791,0.122677351,5.934240341,1.068845034
CIFAR-10_subset_0,Inception,8,"{'rate': 0.4483212955299947, 'lr': 0.04751697783843455}",0.12,0,0.1,0.12,0.5,0.107434127,6.164135456,1.534065247
CIFAR-10_subset_0,Inception,9,"{'rate': 0.44880052214233207, 'lr': 0.009219351118897556}",0.12,0,0.1,0.12,0.5,0.104085714,5.754870892,1.305538893
CIFAR-10_subset_0,Inception,10,"{'rate': 0.5680982198630906, 'lr': 0.00020113828721558886}",0.08,0,0.071428571,0.08,0.464187453,0.102181872,6.030545473,1.119612217
CIFAR-10_subset_1,Inception,1,"{'rate': 0.4449956747974412, 'lr': 6.227181734321737e-05}",0.16,0,0.071428571,0.16,0.588737374,0.130747428,7.001010418,1.360129118
CIFAR-10_subset_1,Inception,2,"{'rate': 0.5332138182370766, 'lr': 0.0011777885352216688}",0.08,0,0.071428571,0.08,0.456195872,0.095396865,5.850194931,1.549114466
CIFAR-10_subset_1,Inception,3,"{'rate': 0.5835452734869582, 'lr': 0.00531580092464735}",0.1,0,0.090909091,0.1,0.484182257,0.099939324,6.647516727,1.3168962
CIFAR-10_subset_1,Inception,4,"{'rate': 0.594929965665048, 'lr': 0.001794085412081029}",0.16,0,0.071428571,0.16,0.505019653,0.112266151,6.505312681,1.082286596
CIFAR-10_subset_1,Inception,5,"{'rate': 0.5410822656629608, 'lr': 0.006921211163695312}",0.12,0,0.090909091,0.12,0.56618643,0.127307479,6.108178854,1.336037636
CIFAR-10_subset_1,Inception,6,"{'rate': 0.4183137413184944, 'lr': 0.012673867625412505}",0.08,0,0.090909091,0.08,0.485330698,0.101361638,6.920476198,1.559507608
CIFAR-10_subset_1,Inception,7,"{'rate': 0.4903705663394068, 'lr': 0.0020680551437544663}",0.1,0,0.090909091,0.1,0.459941041,0.097578065,6.027799129,1.078690052
CIFAR-10_subset_1,Inception,8,"{'rate': 0.4594228198096932, 'lr': 2.412082770157157e-05}",0.12,0,0.076923077,0.12,0.507503733,0.102536319,6.683050632,1.317279816
CIFAR-10_subset_1,Inception,9,"{'rate': 0.47552230689948305, 'lr': 0.00021687822534973125}",0.16,0,0.066666667,0.16,0.514890316,0.116652897,6.068377733,1.086241245
CIFAR-10_subset_1,Inception,10,"{'rate': 0.5879327528681353, 'lr': 0.003855889148592372}",0.12,0,0.1,0.12,0.499996267,0.101514492,6.842107058,1.304321527
CIFAR-10_subset_2,Inception,1,"{'rate': 0.42832102288817087, 'lr': 0.08195857823968407}",0.1,0,0.1,0.1,0.5,0.1044,6.255558729,1.079554081
CIFAR-10_subset_2,Inception,2,"{'rate': 0.5591910147295543, 'lr': 0.00017311118591538448}",0.16,0,0.071428571,0.16,0.522335968,0.137869759,6.933217525,1.070702553
CIFAR-10_subset_2,Inception,3,"{'rate': 0.5831436658159335, 'lr': 0.00011240129815360659}",0.14,0,0.066666667,0.14,0.525562582,0.116005105,6.283644915,1.077139378
CIFAR-10_subset_2,Inception,4,"{'rate': 0.5685503407744404, 'lr': 0.0029894365274189356}",0.1,0,0.1,0.1,0.5,0.104463492,5.898008823,1.083510399
CIFAR-10_subset_2,Inception,5,"{'rate': 0.4425565158926197, 'lr': 2.463591851549119e-05}",0.06,0,0.090909091,0.06,0.522193017,0.105329085,6.028449297,1.587397814
CIFAR-10_subset_2,Inception,6,"{'rate': 0.47716817743572604, 'lr': 1.1577478496208354e-05}",0.1,0,0.058823529,0.1,0.503024264,0.10696686,7.00232482,1.602419853
